"Name","mmax","Mmax","R.A.","Dec.","z","Type"
"SN1959C","13.55","-19.7","13:11:23.81,13:11:23.82","+03:24:37.6,+03:24:37.8,+03:24:37.7","0.00897,0.00944,0.0122","Ia"
"SN2005eg","20.44","-19.288","01:02:08.49,01:02:08.5,01:02:08.472,01:02:08.448,01:02:08.50","-00:52:44.5,-00:52:45,-00:52:44.364,-00:52:44.652,-00:52:44.3316,-00:52:44.6484,-00:52:44.4","0.19152,0.191381","Ia"
"SN2005mo","20.86","-19.67","03:50:12.90,03:50:12.9,03:50:12.912,03:50:12.888","-00:14:24.9,-00:14:25,-00:14:24.792,-00:14:24.7632,-00:14:25.0548,-00:14:24.8","0.274","II"
"SN2006bd","17.51","-17.96","11:38:29.59,11:38:28.56,11:38:28.46","+20:31:38.2,+20:31:34.32,+20:31:34.4","0.026797,0.025724","Ia Pec"
"SN2007hg","18","-17.61","04:08:32.65,04:08:32.676","+02:22:43.7,+02:22:43.20","0.03,0.0297,0.03,0.03","Ia"
"SN2007ss","15.94","-18.25","12:41:06.07,12:41:06.150","+50:23:28.7,+50:23:28.51","0.0155,0.0161,0.0155","Ia"
"SN2009im","15.2","-18.62","03:33:22.07,03:33:22.10,03:33:22.104,03:33:22.08","-04:59:56.4,-04:59:55.2,-04:59:55.212,-04:59:56.508","0.0131","Ia"
"PTF10zai","17.1","-18.91","13:10:41.23,13:10:41.28","+44:01:21.0,+44:01:21","0.0357","Ia"
"ASASSN-15qc","15.64","-18.8335","00:39:17.980,00:39:17.98,00:39:17.94,00:39:17.964","+03:57:00.14,+03:57:00.1,+03:57:00.4,+03:57:00.612","0.017649","Ia"
"Gaia15aby","18.04","-19.7","14:19:13.03,14:19:12.96,14:19:13.04","+10:43:00.8,+10:43:00.84,+10:43:00.9","0.079","Ia"
"SN2015ar","14.76","-19.6","01:07:20.38","+32:23:59.8","0.017","Ia"
"SN2019llt","16.58","-19.5256","13:33:55.472,13:33:55.44,13:33:55.565","+29:33:25.73,+29:33:25.92,+29:33:26.68","0.037239","Ia"
"SN1960R","12","-18.83","12:25:24.83,12:25:24.85,12:25:24.84","+18:09:19.3,+18:09:19.6,+18:09:19.4","0.002432","Ia"
"SN1992al","14.6","-19.1","20:45:56.49,20:45:56.45","-51:23:39.9,-51:23:40.0","0.0141,0.0132,0.0138,0.0135,0.0137,0.0157","Ia"
"SN2000dr","15.8","-18.8109","01:01:44.04,01:1:44.04","-15:34:09.1","0.018796","Ia"
"SN2005fi","20.88","-19.56","00:07:58.69,00:07:58.7,00:07:58.666,00:07:58.6872,00:07:58.6656","+00:38:17.4,+00:38:17,+00:38:17.5,+00:38:17.2,+00:38:17.502,+00:38:17.192,+00:38:17.45","0.263","Ia"
"SN2005ku","17.31","-19.2228","22:59:42.61,22:59:42.6,22:59:42.72,22:59:42.48","+00:00:49.3,-00:00:49,-00:00:49.32,-00:00:49.356,-00:00:49.428,-00:00:49.8744,-00:00:49.30,-00:00:49.3","0.045248","Ia"
"SN2006az","16.02","-19.7","12:12:14.68","+56:10:45.8","0.030935","Ia"
"PS1-10p","21.59","-20.6606","09:59:16.802,09:59:16.800,09:59:16.799","+01:36:48.55,+01:36:48.54","0.58892","Ia"
"ASASSN-15bk","15.73","-20.194","15:44:12.430,15:44:12.43,15:44:12.48,15:44:12.38,15:44:12.45","+11:16:16.38,+11:16:16.4,+11:16:16.32,+11:16:17.27","0.034277","Ia"
"ASASSN-15od","15.02","-19.4952","02:23:13.210,02:23:13.21,02:23:13.19,02:23:13.2","-04:31:02.00,-04:31:02.0,-04:31:01.9,-04:31:02.064","0.017989","Ia"
"ASASSN-15sf","15.44","-20","00:11:27.60,00:11:27.61,00:11:27.622","-06:25:38.4,-06:25:38.316","0.027","Ia"
"PS19acp","18.73","-18.7","14:59:21.625,14:59:21.19,14:59:21.20,14:59:21.62","-17:09:05.81,-17:09:09.4,-17:09:09.34,-17:09:05.8","0.067","Ia"
"SN2005fu","20.58","-19.1452","02:50:32.136,02:50:32.1,02:50:32.088,02:50:32.064,02:50:32.09","+00:48:26.44,+00:48:28,+00:48:28.1,+00:48:27.86,+00:48:28.066,+00:48:27.846,+00:48:28.13","0.193,0.191139","Ia"
"LSQ12hxx","18.11","-19.4","03:19:44.23","-27:00:25.6,-27:00:25.68","0.069","Ia"
"PSc490007","17.91","-19.08","12:17:04.276","+46:37:38.91","0.0557","Ia"
"OGLE17ory","17.25","-17","00:56:07.580,00:56:07.608","-68:23:33.20,-68:23:33.36","0.02","II"
"SN2005if","18.71","-18.6886","03:30:12.888,03:30:12.9,03:30:12.864,03:30:12.84,03:30:12.87","-00:58:28.17,-00:58:28,-00:58:28.56,-00:58:28.488,-00:58:28.812,-00:58:28.5096,-00:58:28.83,-00:58:28.5","0.06709,0.067072","Ia"
"LSQ12btn","18.13","-18.8","09:21:30.50,09:21:30.47","-09:41:29.0,-09:41:29.86,-09:41:29.76","0.054","Ia"
"PTF12giy","17.65","-17.897","23:15:43.37,23:15:43.44","+00:25:08.3,+00:25:08.292","0.02885","Ia"
"SN2016ei","18.76","-18.75","10:55:34.00","-03:21:58.6","0.0704","Ia"
"SN1895B","7.07","-20.1","13:39:55.9,13:39:57.3,13:39:57.30","-31:38:31,-31:38:06,-31:38:08.0,-31:38:06.0","0.0014","Ia"
"SN2002jg","16.12","-17.8","22:19:28.80","+29:23:04.5","0.01574","Ia"
"SN2003cq","16.87","-18.93","11:56:14.17,11:56:14.178","+60:31:19.1,+60:31:19.19","0.033283","Ia"
"SN2005ht","20.56","-19.2","20:50:24.60,20:50:24.6,20:50:24.72,20:50:24.48,20:50:24.61","-00:10:04.4,-00:10:04,-00:10:04.404,-00:10:04.62,-00:10:04.4004,-00:10:04.6236","0.19,0.19","Ia"
"SN2007jh","18.19","-18.0868","03:36:01.578,03:36:01.512,03:36:01.536,03:36:1.54,03:36:01.54","+01:06:16.88,+01:06:11.88,+01:06:12.096,+01:06:12.20,+01:06:12.2","0.040264,0.04029","Ia"
"SN2009eq","17.39","-17.72","18:40:08.30","+40:07:36.5","0.0236","Ia"
"PS1-10hu","19.43","-19.0587","12:25:20.676,12:25:20.677,12:25:20.66,12:25:20.678","+46:00:54.75,+46:00:54.7,+46:00:54.72","0.10979","Ia"
"PTF10acnz","17.96","-19.25","11:44:58.67,11:44:58.56,11:44:56.31","+58:39:42.3,+58:39:42.12,+58:39:46.1","0.0615,0.0615","Ia"
"SN2015bp","13.64","-17.64","15:05:30.1,15:05:30.07,15:05:30","+01:38:02,+01:38:02.4","0.004069","Ia"
"SN2019czy","18.2","-19","15:35:38.484,15:35:38.4,15:35:38.47","+35:00:42.31,+35:00:42.12,+35:00:41.9","0.05","Ia"
"SN1995bd","16.06","-17.6","04:45:21.24","+11:04:02.5","0.0152,0.0146,0.0155","Ia"
"SN1995E","15","-17.9","07:51:56.75","+73:00:34.6","0.01158,0.01158","Ia"
"SN2002aw","15.5","-19.8316","16:37:29.06","+40:52:50.3,+40:52:49.0","0.026145","Ia"
"SN2002G","17.18","-18.38","13:07:55.26","+34:05:06.5","0.033737,0.033737","Ia"
"SN2003D","16.95","-18.0153","09:38:53.52,09:38:53.528","-04:51:05.1,-04:51:05.19","0.022109","Ia"
"SN2004fz","15.03","-19.4015","02:01:06.41","+31:52:44.2","0.017312","Ia"
"SN2005jc","20.65","-19.3","00:45:24.41,00:45:24.4,00:45:24.408","+01:04:32.1,+01:04:32,+01:04:32.088,+01:04:31.692","0.21,0.21","Ia"
"SN2005jk","20.71","-19.09","01:45:59.736,01:45:59.4,01:45:59.424,01:45:59.43","+01:11:44.63,+01:11:45,+01:11:45.456,+01:11:45.204,+01:11:45.42,+01:11:45.4","0.198,0.199","Ia"
"SN2006em","16.91","-18","02:25:44.30","+41:56:31.8","0.019233","Ia Pec"
"SN2009eu","17.22","-18.6","16:28:41.13","+39:33:12.5","0.0304","Ia"
"PTF10gsp","17.92","-20.5018","13:53:35.97,13:53:36","+39:58:22.2,+39:58:22.08","0.10653","Ia"
"SN2011M","16.1","-18.34","05:00:41.55","+62:14:38.6","0.0174","Ia"
"SN2013gs","15.29","-19.0874","09:31:08.87","+46:23:05.4","0.016888","Ia"
"Gaia18ddp","18.64","-18.0709","06:27:38.606,06:27:38.616","-54:27:24.09,-54:27:24.12","0.049071","Ia"
"SN1999cc","16.2","-19.27","16:02:42.03","+37:21:34.4","0.03133","Ia"
"SN2001br","16","-18.8139","18:30:25.55","+34:06:13.0","0.020628","Ia"
"SN2004bd","14.3","-18.8","11:39:42.18","+31:54:31.8","0.00893","Ia"
"SN2005ge","20.95","-19.0192","02:18:14.73,02:18:14.7,02:18:14.736,02:18:14.712,02:18:14.72","+00:47:47.6,+00:47:48,+00:47:47.62,+00:47:47.26,+00:47:47.584,+00:47:47.267","0.206,0.213123","Ia?"
"SN2007au","16.4","-18.1","07:11:46.11","+49:51:13.4","0.020584","Ia"
"ASASSN-14dc","15.8","-20.7","02:18:37.82,02:18:38.064","+33:37:01.7,+33:36:58.32","0.044","IIn"
"PSc090275","20","-19","03:36:17.301,03:36:17.300","-28:03:05.44,-28:03:05.43","0.14","Ia"
"ASASSN-15ae","15.9","-19.8208","15:51:05.810,15:51:05.81,15:51:05.76","+34:25:55.80,+34:25:55.8,+34:25:55.56,+34:25:55.92","0.031238","Ia"
"PS15cwx","16.9","-19.7","05:14:47.80","+07:03:01.3","0.046,0.055","Ia"
"SN2016euj","14.75","-19.6428","02:27:21.700,02:27:21.792","-23:55:45.30,-23:55:46.92","0.017008","Ia"
"SN1993O","17.79","-19.03","13:31:07.87","-33:12:50.5","0.0515,0.0518,0.0542,0.0568,0.0635","Ia"
"SN1993Z","13.87","-18.2","09:10:19.60,09:10:19.58","+07:01:40.2,+07:01:40.13,+07:01:40.3,+07:01:40.1","0.00452,0.0045,0.0045","Ia"
"SN2002kf","15.8","-18.87","06:37:15.31","+49:51:10.2","0.0193,0.0193,0.0196","Ia"
"SN2003gn","17.24","-18.695","22:33:51.68,22:33:51.688","+20:48:08.5,+20:48:08.59","0.03445,0.03445","Ia"
"SN2005gg","20.73","-19.4213","22:18:41.16,22:18:41.2,22:18:41.04","+00:38:21.1,+00:38:21,+00:38:21.08,+00:38:20.62,+00:38:21.077,+00:38:20.627,+00:38:21.12","0.2304,0.231138","Ia"
"SN2005jf","20.8","-19.942","03:33:40.76,03:33:40.8,03:33:40.752","-00:06:43.6,-00:06:44,-00:06:43.56,-00:06:43.6032,-00:06:43.866,-00:06:43.5","0.3006","Ia?"
"SN2005jg","21.58","-18.9","23:01:02.97,23:01:03.0,23:01:02.88","-00:12:26.7,-00:12:27,-00:12:26.532,-00:12:26.856,-00:12:26.5212,-00:12:26.8596,-00:12:26.5","0.268,0.381,0.386","Ia"
"SN2008at","16.5","-19.48","10:27:12.35,10:27:12.469","+71:24:56.4,+71:24:55.55","0.0352,0.0354","Ia"
"LSQ12hjm","18.28","-19","03:10:28.73,03:10:28.72","-16:29:37.0,-16:29:37.08","0.07","Ia"
"PSc190209","21.51","-19.6804","22:12:19.673,22:12:19.672","+01:02:09.41","0.37,0.36687","Ia"
"PTF12mj","17.88","-19.6","10:25:44.15,10:25:44.16","+73:42:00.9,+73:42:00.72","0.069","Ia"
"SN2011at","14.09","-18.293","09:28:57.56,09:28:57.6","-14:48:20.6,-14:48:20.52,-14:48:20.88","0.006758","Ia"
"SN2012dk","14.89","-19.1","00:13:56.30","-70:01:40.7","0.014","Ia"
"SN2013hy","22.07","-20.44","02:42:32.82,02:42:32.83","-01:21:30.1","0.663,0.663","SLSN-I"
"ASASSN-15ti","15.99","-18.3","03:05:08.616,03:05:08.62,03:05:08.592","+37:54:00.72,+37:54:00.7,+37:53:59.64","0.016","Ia"
"SN1992bo","15.76","-18.5","01:21:58.44","-34:12:43.5","0.01851","Ia"
"SN1996bo","15.46","-18.3","01:48:22.86,01:48:22.80","+11:31:15.1,+11:31:15.8","0.01728","Ia"
"SN2001ck","16.1","-19.8522","14:37:50.08","+30:29:02.2","0.034721,0.034717","Ia"
"SN2003gq","17.22","-17.2","22:53:20.68,22:53:20.638","+32:07:57.6,+32:07:57.69","0.02145","Ia-02cx"
"SN2005fa","20.08","-19.2687","01:39:36.010,01:39:36.1,01:39:36.072,01:39:36.08","-00:45:28.95,-00:45:32,-00:45:31.5,-00:45:31.644,-00:45:31.3704,-00:45:31.6584,-00:45:31.54","0.161531","Ia"
"SN2005ix","20.9","-19.4","20:41:55.88,20:41:55.9,20:41:55.92","+01:05:31.3,+01:05:31,+01:05:31.2,+01:05:30.876","0.25,0.25","Ia"
"SN2006gn","19.13","-19.24","23:11:18.43,23:11:18.48","+00:30:16.6,+00:30:16.24,+00:30:16.582","0.104,0.104","Ia"
"SN2006iz","19.56","-19.1","21:16:17.20,21:16:17.28","+00:33:34.2,+00:33:34.16,+00:33:34.171,+00:33:33.858","0.12,0.14","Ia"
"SN2006jq","19.51","-19.313","03:37:06.456,03:37:06.504,03:37:06.50","+00:00:33.38,+00:00:34,+00:00:33,+00:00:33.4,+00:00:33.7","0.1276","Ia"
"LSQ12gef","18.4","-18.9","01:40:33.70","+18:30:36.4,+18:30:36.38","0.065","Ia"
"PS1-10n","22","-19.7","10:03:14.385,10:03:14.382,10:03:14.383","+03:08:39.21,+03:08:39.22","0.46","Ia"
"SN2011im","15.57","-18.7205","22:44:25.22,22:44:25.2,22:44:25.21","-00:10:02.0,-00:10:01.992","0.016228","Ia"
"SN2015I","13.71","-18.925","07:17:45.70,07:17:45.68","+23:20:40.6,+23:20:40.3","0.007589","Ia"
"SN2016ekg","14.52","-19.88","22:00:03.600,22:00:03.6","-30:11:07.00,-30:11:03.48","0.0171","Ia"
"SN1997cw","15.95","-17.9","00:25:17.27","+12:53:06.2","0.01765,0.01765","Ia"
"SN1998bp","14.8","-18.27","17:54:50.74","+18:19:50.5","0.01043,0.01043","Ia"
"SN2000cf","16.9","-19.02","15:52:56.19","+65:56:12.7","0.0353,0.0369,0.0399,0.0438","Ia"
"SN2002eu","17.32","-18.8083","01:49:43.60","+32:37:43.0","0.037626","Ia"
"SN2004bk","15.81","-19.2533","13:37:28.72,13:37:28.8","+04:06:11.3,+04:06:11.16","0.023124","Ia"
"PS1-11fi","18.96","-18.889","14:12:57.070,14:12:57.069","+52:44:37.19,+52:44:37.18","0.08224","Ia"
"SN2010bc","21.24","-19.03","10:48:07.061,10:48:07.06,10:48:07.057,10:48:07.062","+56:51:00.54,+56:51:00.55,+56:51:00.4,+56:51:00.44","0.244,0.24,0.244","Ia"
"Gaia15agh","16.97","-19.5","12:04:05.11,12:04:05.16,12:04:05.04","+14:04:04.9,+14:04:05.9,+14:04:04.8","0.044","Ia"
"SN2020urj","15.92","-20.4405","08:06:36.861,08:06:36.96","+10:27:26.85,+10:27:26.64","0.041831","Ia"
"SNLS-04D1dc","20.65","-19.3","02:26:18.40,02:26:18.464,02:26:18.477","-04:18:42.5,-04:18:43.090,-04:18:43.28","0.211,0.211","Ia"
"SN2005gf","20.71","-19.09","22:16:16.61,22:16:16.6,22:16:16.56,22:16:16.63","+00:42:29.5,+00:42:29,+00:42:29.34,+00:42:28.98,+00:42:29.27,+00:42:29.2,+00:42:29.23","0.198,0.268,0.271","Ia"
"SN2007cs","15.9","-18.2","23:49:39.00,23:49:38.930","+29:55:52.1,+29:55:52.61","0.01756","Ia"
"SN2007jt","19.93","-19.175","02:28:32.760,02:28:32.76,02:28:32.784,02:28:32.78","-01:02:34.12,-01:02:31.956,-01:02:31.632,-01:02:31.6","0.1448","Ia"
"PTF11cml","19.39","-19.51","12:20:33.010,12:20:33.008,12:20:33.05,12:20:33.009","+46:39:58.14,+46:39:58.13,+46:39:57.9","0.132","Ia"
"SN2010gp","16.1","-19.09","16:52:57.39","+02:23:16.4","0.0245","Ia"
"SN2013hn","15.24","-18.899","13:48:59.17","-30:17:26.5","0.01514","Ia"
"SN2017ilf","17.39","-18.2206","09:16:44.728,09:16:44.70,09:16:44.64","+18:57:14.63,+18:57:14.9,+18:57:14.4","0.029704","Ia"
"SN2018J","18.2","","11:00:57.108,11:00:57.12","-25:47:13.27,-25:47:13.2","","Ia/Ic"
"SN1969C","12","-21.9","11:41:17.8,11:41:17.76,11:41:17.0,11:41:17.55","+47:41:33,+47:41:40.0,+47:41:33.3","0.01057,0.00935,0.00962,0.0126","Ia"
"SN2004br","15.46","-19.4","12:31:07.80","+00:36:47.6","0.02316","Ia"
"SN2005jd","21.16","-19.37","02:17:06.21,02:17:06.2,02:17:06.216,02:17:06.192,02:17:06.20","+00:32:05.3,+00:32:05,+00:32:05.424,+00:32:04.956,+00:32:05.3916,+00:32:04.9704,+00:32:05.4","0.273","Ia"
"SN2005jo","21.02","-19.01","03:28:21.68,03:28:21.7,03:28:21.672,03:28:21.648","-00:19:34.1,-00:19:34,-00:19:33.924,-00:19:34.212,-00:19:33.9384,-00:19:34.2048,-00:19:33.9","0.219,0.219","Ia"
"SN2005js","19.93","-17.8455","01:34:41.51,01:34:41.5,01:34:41.52,01:34:41.496","-00:36:19.4,-00:36:19,-00:36:19.332,-00:36:19.584,-00:36:19.3608,-00:36:19.5912,-00:36:19.3","0.07962,0.079563","Ia"
"SN2006S","16.56","-19.37","12:45:39.10","+35:05:12.4","0.032102","Ia"
"SN2007A","15.64","-18.2","00:25:16.66,00:25:16.681,00:25:16.68","+12:53:12.5,+12:53:12.78,+12:53:12.48,+12:53:12.7","0.016463,0.01648,0.01765","Ia"
"SN2008cm","16.08","-17.38","07:16:38.75","-62:18:52.9","0.0111,0.0116,0.0108,0.0111","Ia"
"PS1-1000005","21.07","-19.2182","09:58:59.758,09:58:59.759","+03:09:27.11,+03:09:27.10","0.24566","Ia"
"PS15sg","17.1","-20","08:16:59.74,08:16:59.76","+51:12:33.7,+51:12:34.92,+51:12:34.8","0.05","Ia"
"SN2016ah","17.64","-19","10:51:12.70,10:51:12.54","+19:21:45.0","0.05","Ia"
"SN2016aqs","16.28","-19","06:34:08.98,06:34:08.976,06:34:08.97","-25:11:04.6,-25:11:04.56","0.03","Ia"
"SN2016eja","15.4","-19.7","22:25:31.760,22:25:31.68","+38:59:03.50,+38:59:03.48","0.024","Ia"
"SN2018dem","18.2","-18.944","21:11:58.530","-00:13:05.16","0.05976","Ia"
"SN2000dn","16.69","-19.088","23:05:05.86","-03:12:01.0","0.032065","Ia"
"SDSS-II SN 10106","20.66","-18.487","03:10:46.39,03:10:46.4,03:10:46.392,03:10:46.368","-00:12:17.6,-00:12:18,-00:12:17.568,-00:12:17.5752,-00:12:17.802","0.1472,0.1476,0.1476","Ia?"
"SN2005fr","21.16","-19.469","01:08:22.02,01:08:22.0,01:08:22.01,01:08:22.008,01:08:21.984,01:08:22.010","-00:05:46.7,-00:05:47,-00:05:46.65,-00:05:46.572,-00:05:47.004,-00:05:46.4892,-00:05:46.9896,-00:05:46.74,-00:05:46.654","0.287,0.2859,0.288","Ia"
"SN2005ie","21.15","-19.15","02:19:02.53,02:19:02.5,02:19:02.544,02:19:02.52,02:19:02.54","-00:16:22.0,-00:16:22,-00:16:22.188,-00:16:22.512,-00:16:22.2204,-00:16:22.2","0.247,0.348","Ia"
"SN2006hv","20.02","-19.04","22:27:19.920,22:27:19.92,22:27:19.99","+01:01:50.59,+01:01:51.492,+01:01:51.204,+01:01:51.4","0.142,0.167,0.168","Ia"
"SNLS-05D4bm","21.62","-19.6","22:17:04.611","-17:40:39.44,-17:40:39.440","0.372,0.375","Ia"
"PTF10accd","17.05","-18.91","02:13:30.40,02:13:30.408,02:13:30.50","+46:41:37.2,+46:41:37.32,+46:41:38.4","0.0348,0.0348","Ia"
"SN2017wb","16.55","-19","11:01:19.530,11:01:19.44,11:01:19.52","+70:39:54.76,+70:39:53.28,+70:39:53.6,+70:39:54.72","0.03","Ia"
"SN2020mbb","18.32","-19.8","15:05:37.871,15:05:37.92","-05:15:13.84,-05:15:13.968","0.093","Ia"
"SN2002bf","16.11","-18.8","10:15:42.31","+55:40:06.7","0.024197","Ia"
"SN2005be","16","-19.9698","14:59:32.72,14:59:32.64","+16:40:11.6,+16:40:11.64","0.035001","Ia"
"SN2005fj","20.05","-19.03","21:11:20.85,21:11:20.9,21:11:20.88","-00:26:43.3,-00:26:43,-00:26:43.332,-00:26:43.1988,-00:26:43.4652,-00:26:43.30","0.143,0.171","Ia"
"SN2006cc","17.47","-18.2","16:09:56.44,16:09:56.47","+43:07:35.0,+43:07:35.9","0.032529","Ia"
"SN2007ap","15.69","-18.8","15:56:23.06","+16:30:57.9","0.015818","Ia"
"SN2007mn","18.16","-19.73","02:05:03.96,02:05:03.936","+00:10:28.4,+00:10:28.09,+00:10:28.409,+00:10:28.074","0.0837,0.0769","Ia"
"LSQ12hvj","18.2","-19.3","11:07:38.63,11:07:38.62","-29:42:41.1,-29:42:40.96","0.071","Ia"
"OGLE-2014-SN-024","19.69","-19","06:01:15.38,06:01:15.45","-78:18:21.7,-78:18:21.9","0.1","Ia"
"PTF10feg","19.05","-19.54","12:30:35.68,12:30:35.76","+15:47:38.9,+15:47:38.76","0.115","Ia"
"SN2016asf","15.77","-17.73","06:50:36.730,06:50:36.73,06:50:36.72","+31:06:44.56,+31:06:44.6,+31:06:44.64","0.0113","Ia"
"SN1974J","15.5","-15.9","22:38:37,22:38:37.8,22:38:38.71","+34:03.8,+34:03:51.0,+34:04:00.1","0.0222","Ia"
"SN1990T","17.81","-18.33","19:59:02.29,19:59:02.28","-56:15:30.1,-56:15:30.0","0.040485","Ia"
"SN1994M","16.12","-18.7","12:31:08.61","+00:36:19.6,+00:36:19.9","0.02316","Ia"
"SN2001fe","14.17","-19.8","09:37:57.10,09:37:57.03","+25:29:41.3,+25:29:41.7","0.013539","Ia"
"SN2002hu","16.3","-19.56","02:18:20.06","+37:27:58.8","0.036699","Ia"
"SDSS-II SN 6696","21.3","-18.9257","22:36:19.04,22:36:19.0,22:36:18.96","+00:28:45.3,+00:28:45,+00:28:45.304,+00:28:45.062","0.2379,0.23892","Ia?"
"SN2005gw","21.14","-19.16","23:37:59.60,23:37:59.6,23:37:59.52","+00:38:31.7,+00:38:32,+00:38:31.6,+00:38:31.24,+00:38:31.582,+00:38:31.25","0.247","Ia"
"SN2008hy","14.3","-18.5","03:45:08.45,03:45:08.256","+76:39:55.5,+76:39:55.08","0.008459","Ia"
"SN2009cz","15.61","-19.25","09:15:00.02","+29:44:07.1","0.0211","Ia"
"OGLE-2013-SN-032","19.26","-19","00:19:17.49,00:19:17.52","-65:24:42.6,-65:24:42.8","0.09","Ia"
"PS1-11sk","21.4","-19.1","12:12:50.654,12:12:50.655,12:12:50.656","+47:08:44.75,+47:08:44.74","0.27","Ia"
"PTF10pdf","18.54","-19.13","13:24:30.98,13:24:30.96","+42:05:20.3,+42:05:20.4","0.0759","Ia"
"PTF11bui","16.56","-18.957","13:12:56.40,13:12:56.4,13:12:56.30","+47:27:12.5,+47:27:12.6,+47:27:15.0","0.02846","Ia"
"PTF12gkn","18.57","-19.1","15:25:39.83,15:25:39.84","+09:39:05.7,+09:39:05.688","0.077","Ia"
"SN2011ia","14.53","-19.9608","09:45:03.45,09:45:03.54","+64:15:35.5,+64:15:36.5","0.017789","Ia"
"SN2013fa","15.48","-18.7119","20:43:53.57","+12:30:51.7","0.015511","Ia"
"SN2016fbz","17.23","-19","23:59:16.034,23:59:16.08,23:59:16.03","+22:03:00.72,+22:03:00.8","0.04","Ia"
"SN2019cqd","18.11","-19","17:19:17.337,17:19:17.31","+48:46:20.35,+48:46:20.4","0.06","Ia"
"SN2005ji","19","-21","00:17:18.34,00:17:18.3,00:17:18.338,00:17:18.307,00:17:18.3384,00:17:18.3072","-00:15:26.1,-00:15:26,-00:15:26.136,-00:15:26.496,-00:15:26.19,-00:15:26.4996","0.22,0.22","Ia"
"SN2007mc","19.98","-19.31","01:07:25.70,01:07:25.248,01:07:25.272,01:07:25.28","+01:02:37.4,+01:02:37.248,+01:02:37.5","0.157,0.156,0.157","Ia"
"LSQ12ca","19.14","-19.1","05:31:03.62","-19:47:59.1,-19:47:59.28","0.098","Ia"
"SN2018fiw","17.95","-18.702","00:15:01.840,00:15:01.83","+34:48:40.33,+34:48:41.2","0.04777","Ia"
"SN1981D","12.37","-18.13","03:22:39,03:22:38.4,03:22:40.07","-37:14.1,-37:13:58.0,-37:14:09.7","0.005871","Ia"
"SN2000bk","0.086","-35.06","12:33:53.94","-07:22:42.9","0.025444","Ia"
"SN2001E","15.6","-19.064","11:49:05.00","-09:44:10.9","0.01926,0.01926","Ia"
"SN2004E","16.1","-19.5202","13:16:51.40","+31:35:11.8","0.029834","Ia"
"LSQ12hzs","18.63","-18.9","04:01:53.19,04:01:53.21","-26:39:50.3,-26:39:50.15","0.072","Ia"
"PSc170428","21.6","-19","16:14:28.433,16:14:28.432","+54:00:10.88,+54:00:10.87","0.3","Ia"
"SN2013bh","18.26","-18.7","15:02:13.09","+10:38:45.6","0.056,0.068","Ia Pec"
"ASASSN-15al","16.58","-19","04:57:49.630,04:57:49.63,04:57:49.632","-21:35:34.11,-21:35:34.1,-21:35:34.08","0.03","Ia"
"SN2016jhr","19.6","","12:18:19.850","+00:15:17.38","","Ia"
"SN2017aaa","17.31","-19.3","13:49:49.150,13:49:49.2,13:49:49.14","-03:04:48.09,-03:04:48.288,-03:04:48.0","0.047","Ia"
"SN1998ab","15.97","-19","12:48:47.24,12:48:47.28","+41:55:28.3,+41:55:28.2,+41:55:28.31","0.02725,0.02713","Ia-91T"
"SN2006iy","20.76","-19.12","22:01:53.040,22:01:52.8,22:01:52.82","+01:02:40.16,+01:02:42.036,+01:02:41.676,+01:02:42.1","0.205,0.188,0.229,0.231","Ia"
"SN2007hb","17.8","-18.1812","02:08:34.02,02:08:34.08,02:33:41.90,02:33:41.898","+29:14:14.3,+29:14:13.9,+37:40:08.2,+37:40:08.12","0.035184","Ic"
"SN2008dt","17.2","-18.794","16:56:30.56,16:56:30.592","+27:58:33.2,+27:58:33.83","0.03539","Ia"
"ASASSN-14bd","16.56","-18.3346","12:52:44.8,12:52:44.86,12:52:44.88","+26:28:13,+26:28:12.4,+26:28:13.08","0.021405","Ia"
"LSQ12gpw","17.54","-19.5","03:12:58.0,03:12:58.24","-11:42:40,-11:42:40.13,-11:42:40.0","0.058","Ia"
"PSc091748","19.75","-19.3494","03:28:29.494,03:28:29.493,03:28:29.492","-26:49:42.58,-26:49:42.53","0.14446","Ia"
"PTF12fhn","19.64","-19.14","15:23:18.41,15:23:18.48","+10:31:03.9,+10:31:03.72","0.125","Ia"
"SN2011dn","15.5","-19.75","19:58:35.53,19:58:35.52","+02:36:11.3,+02:36:16.2","0.0252","Ia"
"ASASSN-15rq","14.71","-20.5","00:08:03.140,00:08:03.14,00:08:03.1392","-36:33:51.81,-36:33:51.8,-36:33:51.84","0.025","Ia"
"DES17C2ou","19.84","-18.51","03:37:55.54","-29:56:26.6","0.103","Ia"
"Gaia16ajy","16.32","-21.119","03:21:07.488,03:21:07.44","-31:18:46.08,-31:18:45.72","0.06831","Ia CSM"
"PS15bzz","18.53","-19.264","00:37:41.936,00:37:41.94","+01:45:46.16,+01:45:46.0","0.08024","Ia"
"SN2016F","15.06","-19.2183","01:39:32.030,01:39:32.03,01:39:32.04","+33:49:36.05,+33:49:36.0,+33:49:36.48","0.016138","Ia"
"SN1939A","11.8","-18.85","12:42:48,12:42:48.7,12:42:47.94","+02:41.6,+02:41:36.0,+02:41:35.6","0.00312","Ia"
"SN1956A","13.08","-18.3","11:57:43,11:57:35.100,11:57:43.43","+53:22.5,+53:22:00.0,+53:22:19.2","0.00514,0.00559","Ia"
"SN2000dm","15.45","-18.673","18:18:58.97","+16:14:53.4","0.01503,0.01507","Ia"
